Time,,Temperature,Humidity,Moisture,pH,N,P,K,,LastIrrigated,NextScheduledw,ValveStatusw,WaterUsage,,LastFertilized,NextScheduledF,ValveStatusF,FertilizerUsage,,,CropType,Location,Stage,Health
8:00:00 AM,,24,65,10,6.4,30,12,45,,7:30:00 AM,7:30:00 AM,ON,10,,7:30:00 AM,7:30:00 AM,ON,10,,,Tomato,Kandy,Flowering,Good
9:00:00 AM,,24.8,64,20,6.5,32,11.5,44,,6:45:00 AM,6:45:00 AM,OFF,50,,6:45:00 AM,6:45:00 AM,OFF,50,,,,,,
10:00:00 AM,,25.2,63.5,60,6.6,34,11.2,43,,6:15:00 AM,6:15:00 AM,ON,80,,6:15:00 AM,6:15:00 AM,ON,80,,,,,,
11:00:00 AM,,25.6,63,10,6.6,36,11,42,,7:30:00 AM,7:30:00 AM,OFF,60,,7:30:00 AM,7:30:00 AM,OFF,60,,,,,,
12:00:00 PM,,26,62,40,5,35,6,42,,6:45:00 AM,6:45:00 AM,ON,95,,6:45:00 AM,6:45:00 AM,ON,95,,,,,,
1:00:00 PM,,26.56,61.4,20,5.41,37.6,6.59,40.8,,6:15:00 AM,6:15:00 AM,OFF,113,,6:15:00 AM,6:15:00 AM,OFF,113,,,,,,
2:00:00 PM,,27.04,60.7,32.67,5.14,39,5.34,40,,7:30:00 AM,7:30:00 AM,ON,131,,7:30:00 AM,7:30:00 AM,ON,131,,,,,,
3:00:00 PM,,27.52,60,34.38,4.87,40.4,4.09,39.2,,6:45:00 AM,6:45:00 AM,OFF,149,,6:45:00 AM,6:45:00 AM,OFF,149,,,,,,
4:00:00 PM,,28,59.3,36.1,4.6,41.8,2.84,38.4,,6:15:00 AM,6:15:00 AM,ON,167,,6:15:00 AM,6:15:00 AM,ON,167,,,,,,
5:00:00 PM,,28.48,58.6,37.81,4.33,43.2,1.59,37.6,,7:30:00 AM,7:30:00 AM,OFF,185,,7:30:00 AM,7:30:00 AM,OFF,185,,,,,,
6:00:00 PM,,28.96,57.9,39.52,4.06,44.6,0.34,36.8,,6:45:00 AM,6:45:00 AM,ON,203,,6:45:00 AM,6:45:00 AM,ON,203,,,,,,
7:00:00 PM,,29.44,57.2,41.24,3.79,46,-0.91,36,,6:15:00 AM,6:15:00 AM,OFF,221,,6:15:00 AM,6:15:00 AM,OFF,221,,,,,,
8:00:00 PM,,29.92,56.5,42.95,3.52,47.4,-2.16,35.2,,7:30:00 AM,7:30:00 AM,ON,239,,7:30:00 AM,7:30:00 AM,ON,239,,,,,,
9:00:00 PM,,30.4,55.8,44.67,3.25,48.8,-3.41,34.4,,6:45:00 AM,6:45:00 AM,OFF,257,,6:45:00 AM,6:45:00 AM,OFF,257,,,,,,
10:00:00 PM,,30.88,55.1,46.38,2.98,50.2,-4.66,33.6,,6:15:00 AM,6:15:00 AM,ON,275,,6:15:00 AM,6:15:00 AM,ON,275,,,,,,
11:00:00 PM,,31.36,54.4,48.1,2.71,51.6,-5.91,32.8,,7:30:00 AM,7:30:00 AM,OFF,293,,7:30:00 AM,7:30:00 AM,OFF,293,,,,,,
12:00:00 AM,,31.84,53.7,49.81,2.44,53,-7.16,32,,6:45:00 AM,6:45:00 AM,ON,311,,6:45:00 AM,6:45:00 AM,ON,311,,,,,,
1:00:00 AM,,32.32,53,51.52,2.17,54.4,-8.41,31.2,,6:15:00 AM,6:15:00 AM,OFF,329,,6:15:00 AM,6:15:00 AM,OFF,329,,,,,,
2:00:00 AM,,32.8,52.3,53.24,1.9,55.8,-9.66,30.4,,7:30:00 AM,7:30:00 AM,ON,347,,7:30:00 AM,7:30:00 AM,ON,347,,,,,,
3:00:00 AM,,33.28,51.6,54.95,1.63,57.2,-10.91,29.6,,6:45:00 AM,6:45:00 AM,OFF,365,,6:45:00 AM,6:45:00 AM,OFF,365,,,,,,
4:00:00 AM,,33.76,50.9,56.67,1.36,58.6,-12.16,28.8,,6:15:00 AM,6:15:00 AM,ON,383,,6:15:00 AM,6:15:00 AM,ON,383,,,,,,
5:00:00 AM,,34.24,50.2,58.38,1.09,60,-13.41,28,,7:30:00 AM,7:30:00 AM,OFF,401,,7:30:00 AM,7:30:00 AM,OFF,401,,,,,,
6:00:00 AM,,34.72,49.5,60.1,0.82,61.4,-14.66,27.2,,6:45:00 AM,6:45:00 AM,ON,419,,6:45:00 AM,6:45:00 AM,ON,419,,,,,,
7:00:00 AM,,35.2,48.8,61.81,0.55,62.8,-15.91,26.4,,6:15:00 AM,6:15:00 AM,OFF,437,,6:15:00 AM,6:15:00 AM,OFF,437,,,,,,
8:00:00 AM,,35.68,48.1,63.52,0.28,64.2,-17.16,25.6,,7:30:00 AM,7:30:00 AM,ON,455,,7:30:00 AM,7:30:00 AM,ON,455,,,,,,
9:00:00 AM,,36.16,47.4,65.24,0.01,65.6,-18.41,24.8,,6:45:00 AM,6:45:00 AM,OFF,473,,6:45:00 AM,6:45:00 AM,OFF,473,,,,,,
10:00:00 AM,,36.64,46.7,66.95,-0.26,67,-19.66,24,,6:15:00 AM,6:15:00 AM,ON,491,,7:15:00 AM,8:15:00 AM,OFF,500,,,,,,
